experiment,dataset,quantity,polymer_type,model,train_size,split,rmse_mean,rmse_std,mae_mean,mae_std,mse_mean,n_folds,n_samples_mean
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,RDKit_RF,1000,train,0.014852067479933163,0.0005717316183732138,0.009637552279501542,0.00019961839042060658,0.00022091078547193584,5,1000.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,RDKit_RF,1000,val,0.03425445082183702,0.0052773567487669985,0.02316377793097979,0.0023377741346428424,0.0012012178953594078,5,179.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,polyBERT,300,test,0.09791230850381924,0.00854794616585378,0.07329746851041996,0.006847091286863637,0.009659887540201407,5,179.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,polyBERT,300,train,0.007033567448701766,0.006540781919741534,0.0050859943230946855,0.005326526774632727,9.225289917705482e-05,5,300.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,polyBERT,300,val,0.09342940004403921,0.0022645844600406085,0.07208465397690927,0.0014815909118082577,0.008734181135365773,5,179.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,polyBERT,1000,test,0.06391776659579977,0.008121128743253127,0.0474012707864772,0.005130450907916013,0.00415143361865963,5,179.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,polyBERT,1000,train,0.0038787922817996277,0.0013240348283548576,0.0028567010641098022,0.0010851302676672906,1.679809779204504e-05,5,1000.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,polyBERT,1000,val,0.06090076906281237,0.003419216159883547,0.04523950562130805,0.0022205405785079816,0.0037205947115900133,5,179.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,polymer_chemprop,300,test,0.02971628826580114,0.006383954226289129,,,,5,179.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,polymer_chemprop,1000,test,0.012604712801805907,0.0031030867797093124,,,,5,179.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,polymer_periodic_graph,300,test,0.03179905199121685,0.006396827205006027,,,,5,179.0
MD_5000/Cv/homopolymer_Cv/seed_42,MD_5000,Cv,homopolymer,polymer_periodic_graph,1000,test,0.012448820822320945,0.0020476317360764423,,,,5,179.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,RDKit_RF,300,test,4.045919322359036,0.09920647817513831,2.2192760913915217,0.10340919100888094,16.37930508835012,5,2780.0
